Machine type	Virtual_CPUs	Memory	Price_(USD)	Preemptible_price_(USD)
e2-standard-2	2	8GB	    $0.067006	$0.020102
e2-standard-4	4	16GB	$0.134012	$0.040204
e2-standard-8	8	32GB	$0.268024	$0.080408
e2-standard-16	16	64GB	$0.536048	$0.160816
e2-standard-32	32	128GB	$1.072096	$0.321632
e2-highmem-2	2	16GB	$0.09039	$0.027118
e2-highmem-4	4	32GB	$0.18078	$0.054236
e2-highmem-8	8	64GB	$0.36156	$0.108472
e2-highmem-16	16	128GB	$0.72312	$0.216944
e2-highcpu-2	2	2GB	$0.049468	$0.01484
e2-highcpu-4	4	4GB	$0.098936	$0.02968
e2-highcpu-8	8	8GB	$0.197872	$0.05936
e2-highcpu-16	16	16GB	$0.395744	$0.11872
e2-highcpu-32	32	32GB	$0.791488	$0.23744
n2-standard-2	2	8GB	$0.097118	$0.02354
n2-standard-4	4	16GB	$0.194236	$0.04708
n2-standard-8	8	32GB	$0.388472	$0.09416
n2-standard-16	16	64GB	$0.776944	$0.18832
n2-standard-32	32	128GB	$1.553888	$0.37664
n2-standard-48	48	192GB	$2.330832	$0.56496
n2-standard-64	64	256GB	$3.107776	$0.75328
n2-standard-80	80	320GB	$3.88472	$0.9416
n2-highmem-2	2	16GB	$0.131014	$0.03178
n2-highmem-4	4	32GB	$0.262028	$0.06356
n2-highmem-8	8	64GB	$0.524056	$0.12712
n2-highmem-16	16	128GB	$1.048112	$0.25424
n2-highmem-32	32	256GB	$2.096224	$0.50848
n2-highmem-48	48	384GB	$3.144336	$0.76272
n2-highmem-64	64	512GB	$4.192448	$1.01696
n2-highmem-80	80	640GB	$5.24056	$1.2712
n2-highcpu-2	2	2GB	$0.071696	$0.01736
n2-highcpu-4	4	4GB	$0.143392	$0.03472
n2-highcpu-8	8	8GB	$0.286784	$0.06944
n2-highcpu-16	16	16GB	$0.573568	$0.13888
n2-highcpu-32	32	32GB	$1.147136	$0.27776
n2-highcpu-48	48	48GB	$1.720704	$0.41664
n2-highcpu-64	64	64GB	$2.294272	$0.55552
n2-highcpu-80	80	80GB	$2.86784	$0.6944
n2d-standard-2	2	8GB	$0.084492	$0.020446
n2d-standard-4	4	16GB	$0.168984	$0.040892
n2d-standard-8	8	32GB	$0.337968	$0.081784
n2d-standard-16	16	64GB	$0.675936	$0.163568
n2d-standard-32	32	128GB	$1.351872	$0.327136
n2d-standard-48	48	192GB	$2.027808	$0.490704
n2d-standard-64	64	256GB	$2.703744	$0.654272
n2d-standard-80	80	320GB	$3.37968	$0.81784
n2d-standard-96	96	384GB	$4.055616	$0.981408
n2d-standard-128	128	512GB	$5.407488	$1.308544
n2d-standard-224	224	896GB	$9.463104	$2.289952
n2d-highmem-2	2	16 GB	$0.11398	$0.027582
n2d-highmem-4	4	32 GB	$0.22796	$0.055164
n2d-highmem-8	8	64 GB	$0.45592	$0.110328
n2d-highmem-16	16	128 GB	$0.91184	$0.220656
n2d-highmem-32	32	256 GB	$1.82368	$0.441312
n2d-highmem-48	48	384 GB	$2.73552	$0.661968
n2d-highmem-64	64	512 GB	$3.64736	$0.882624
n2d-highmem-80	80	640 GB	$4.5592	$1.10328
n2d-highmem-96	96	768 GB	$5.47104	$1.323936
n2d-highcpu-2	2	2 GB	$0.062376	$0.015094
n2d-highcpu-4	4	4 GB	$0.124752	$0.030188
n2d-highcpu-8	8	8 GB	$0.249504	$0.060376
n2d-highcpu-16	16	16 GB	$0.499008	$0.120752
n2d-highcpu-32	32	32 GB	$0.998016	$0.241504
n2d-highcpu-48	48	48 GB	$1.497024	$0.362256
n2d-highcpu-64	64	64 GB	$1.996032	$0.483008
n2d-highcpu-80	80	80 GB	$2.49504	$0.60376
n2d-highcpu-96	96	96 GB	$2.994048	$0.724512
n2d-highcpu-128	128	128 GB	$3.992064	$0.966016
n2d-highcpu-224	224	224 GB	$6.986112	$1.690528
n1-standard-1	1	3.75GB	$0.04749975	$0.01
n1-standard-2	2	7.5GB	$0.0949995	$0.02
n1-standard-4	4	15GB	$0.189999	$0.04
n1-standard-8	8	30GB	$0.379998	$0.08
n1-standard-16	16	60GB	$0.759996	$0.16
n1-standard-32	32	120GB	$1.519992	$0.32
n1-standard-64	64	240GB	$3.039984	$0.64
n1-standard-96	96	360GB	$4.559976	$0.96
n1-highcpu-2	2	1.80GB	$0.0708486	$0.0149156
n1-highcpu-4	4	3.60GB	$0.1416972	$0.0298312
n1-highcpu-8	8	7.20GB	$0.2833944	$0.0596624
n1-highcpu-16	16	14.40GB	$0.5667888	$0.1193248
n1-highcpu-32	32	28.80GB	$1.1335776	$0.2386496
n1-highcpu-64	64	57.6GB	$2.2671552	$0.4772992
n1-highcpu-96   96	86.4GB	$3.4007328	$0.7159488
c2-standard-4	4	16	$0.2088	$0.0505
c2-standard-8	8	32	$0.4176	$0.1011
c2-standard-16	16	64	$0.8352	$0.2021
c2-standard-30	30	120	$1.5660	$0.3790
c2-standard-60	60	240	$3.1321	$0.7579
